monitoring_location_id,time_series_id,site_name,block_index,block_start,block_end,cadence_hours,phase_cases,median_occupation_width_fraction,median_deficit_width_fraction_nonnegative,median_deficit_width_fraction_reduction,occupation_containment_failures,deficit_containment_failures,median_occupation_width_fraction_k1,median_occupation_width_fraction_increase,median_deficit_width_fraction_k1,median_deficit_width_fraction_increase,k1_nesting_failures
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,0.5,2,0.4649130621025578,0.07743456870006724,0.0,0,0,0.46744132518250614,0.0025282630799483286,0.07930252783574646,0.0018679591356792272,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,1.0,4,0.7325244451705302,0.3566022727385345,0.0006852838200745726,0,0,0.7350640570848148,0.002539611914284534,0.36116499838275384,0.0045574059735627725,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,2.0,8,0.8663690414598875,0.6770319032074228,0.3155300461315381,0,0,0.8688935366365864,0.002554910781237929,0.6818239903296297,0.004836081121629143,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,4.0,16,0.9334318329778226,0.8387632638515905,1.4628185149206052,0,0,0.9359486315228858,0.0024937086501545247,0.8435890518875373,0.004802698141038175,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",1,2024-06-18 16:00:00+00:00,2024-06-25 16:00:00+00:00,0.5,2,0.65927227711379,0.1706005891820943,0.0,0,0,0.6622068009047433,0.0029345237909533806,0.17250480839773025,0.001904219215635966,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",1,2024-06-18 16:00:00+00:00,2024-06-25 16:00:00+00:00,1.0,4,0.8298686768493111,0.4597218979196981,0.012791566849324115,0,0,0.8327710904656365,0.002902413616325261,0.46430909472012083,0.004582330631893727,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",1,2024-06-18 16:00:00+00:00,2024-06-25 16:00:00+00:00,2.0,8,0.9150720282272384,0.7290941522807499,0.38981576243771726,0,0,0.9179919262629392,0.002919898035700641,0.7339398034550924,0.004850680611807767,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",1,2024-06-18 16:00:00+00:00,2024-06-25 16:00:00+00:00,4.0,16,0.9577224024219193,0.8648419147574273,1.5686866779750142,0,0,0.960585549390615,0.0028631469686957733,0.8696593904312073,0.004817475673779714,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",2,2024-06-25 16:15:00+00:00,2024-07-02 16:15:00+00:00,0.5,2,0.652649860288407,0.1733344304675838,0.0,0,0,0.6559465257249286,0.003296665436521684,0.17525533496577755,0.0019209044981937373,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",2,2024-06-25 16:15:00+00:00,2024-07-02 16:15:00+00:00,1.0,4,0.8253347353407745,0.45515547362834313,0.0136207890624985,0,0,0.8289973049042327,0.003673367233161584,0.46005101256762065,0.004906129971859491,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",2,2024-06-25 16:15:00+00:00,2024-07-02 16:15:00+00:00,2.0,8,0.9129505398106749,0.725489436046148,0.3866490397507214,0,0,0.9166004123553005,0.0036498725446257874,0.7310842344229913,0.005589361587531982,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",2,2024-06-25 16:15:00+00:00,2024-07-02 16:15:00+00:00,4.0,16,0.9570989752593803,0.8635147075980671,1.563850535137155,0,0,0.9603546504415261,0.0035558438159607464,0.8688554002904808,0.005571668607818714,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",3,2024-07-02 16:30:00+00:00,2024-07-09 16:30:00+00:00,0.5,2,0.7177159552700618,0.19892816718316486,0.0,0,0,0.720470023408992,0.002754068138930199,0.20082502356072773,0.0018968563775628722,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",3,2024-07-02 16:30:00+00:00,2024-07-09 16:30:00+00:00,1.0,4,0.8589835134380743,0.49185462165943916,0.01695509770600001,0,0,0.8617498764161344,0.002721012765304953,0.49626846273762126,0.004423058235786509,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",3,2024-07-02 16:30:00+00:00,2024-07-09 16:30:00+00:00,2.0,8,0.9292152843376638,0.7457252419016887,0.4133224557616964,0,0,0.9319755004495368,0.0026917810016616195,0.7503021820726494,0.004581046277573386,0
USGS-01491000,79480fea74964d81bf3822a6a66ee1c7,"CHOPTANK RIVER NEAR GREENSBORO, MD",3,2024-07-02 16:30:00+00:00,2024-07-09 16:30:00+00:00,4.0,16,0.9648110001589318,0.8727031003780903,1.6006157343283227,0,0,0.9674432481785393,0.0026784278094249547,0.8772896771027817,0.004590732905774886,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",0,2024-06-01 11:45:00+00:00,2024-06-08 11:45:00+00:00,0.5,2,0.3125051847694368,0.03956120117675642,0.0,0,0,0.3155079784457747,0.0030027936763379337,0.04135356552476637,0.0017923643480099519,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",0,2024-06-01 11:45:00+00:00,2024-06-08 11:45:00+00:00,1.0,4,0.6549982564657195,0.2870381526100307,1.557283167075152e-05,0,0,0.6583995224223504,0.003355915743876059,0.2920206730198668,0.00498488094235533,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",0,2024-06-01 11:45:00+00:00,2024-06-08 11:45:00+00:00,2.0,8,0.8273838403426031,0.6380467020901381,0.26761386859341657,0,0,0.8308055958531897,0.0033104126725438943,0.643749627941116,0.005578004618051691,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",0,2024-06-01 11:45:00+00:00,2024-06-08 11:45:00+00:00,4.0,16,0.9137949768766618,0.8191264077504294,1.3867392881879732,0,0,0.9170792395477427,0.003278765077054935,0.8246921719422646,0.005565764191835076,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",1,2024-06-08 12:00:00+00:00,2024-06-15 12:00:00+00:00,0.5,2,0.2543469839424399,0.033998933170751255,0.0,0,0,0.25732761649396796,0.002980632551528084,0.03590267498106901,0.0019037418103177509,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",1,2024-06-08 12:00:00+00:00,2024-06-15 12:00:00+00:00,1.0,4,0.6102253141271665,0.2556337411021755,0.0001773780404469294,0,0,0.6142042554129399,0.00399081872244722,0.2606002121704733,0.004966471068297756,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",1,2024-06-08 12:00:00+00:00,2024-06-15 12:00:00+00:00,2.0,8,0.8050511827101742,0.6157140444577096,0.24483340882846144,0,0,0.8090660425092626,0.004014859799088444,0.6220100745971893,0.006296030139479547,0
USGS-01579550,abaf8aaaf7bd495483198ad33d277024,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",1,2024-06-08 12:00:00+00:00,2024-06-15 12:00:00+00:00,4.0,16,0.9025375535897981,0.807868984463566,1.345389788623489,0,0,0.9065090155141182,0.004017641714137654,0.8141494358787698,0.00632663120502136,0
